country,state,city,location_x,location_y
United States,Maryland,Rockville,-77.150329,39.126727
United States,Maryland,Rockville,-77.150144,39.126885
United States,Nevada,Reno,-119.75538,39.416292
United States,Washington,Port Townsend,-122.7603,48.11702
United States,Maryland,Rockville,-77.199488,39.104422
United States,Massachusetts,Somerville,-71.125686,42.40098
United States,Massachusetts,Somerville,-71.087099,42.385778
United States,Tennessee,Knoxville,-83.883624,36.039471
United States,Tennessee,Kent,-81.337712,41.155218
United States,Virginia,Waynesboro,-78.885734,38.068559
United States,Virginia,Verona,-79.010219,38.193744
United States,South Carolina,Sumter,-80.361114,33.919521
United States,California,Etna,-122.89585,41.458263
United States,Virginia,Vienna,-77.264712,38.915538
United States,New York,Narrowsburg,-75.05512,41.596136
United States,California,Fresno ,-119.78909,36.849308
United States,California,Fresno,-119.78909,36.849327
United States,California,Fresno ,-119.77688,36.874654
United States,Massachusetts,Andover,-71.143138,42.653616
United States,Kansas,Wichita,-97.360349,37.683757
United States,California,Berkeley,-122.2716,37.869819
United States,California,Berkeley,-122.26907,37.880337
United States,California,Berkeley ,-122.27193,37.847765
United States,Georgia,Augusta-Richmond County consolidated government (balance),-82.073422,33.365531
United States,Kentucky,Louisville,-85.571695,38.288727
United States,Kentucky,Grayson,-82.904359,38.331557
United States,Kentucky,Falmouth,-84.332926,38.671615
United States,Kentucky,Taylorsville,-85.344893,38.03192
United States,Kentucky,Olive Hill,-83.180887,38.29761
United States,Kentucky,Barbourville,-83.867633,36.849364
United States,Kentucky,Columbia,-85.307537,37.103437
United States,Kentucky,Columbia,-85.307537,37.103437
United States,Kentucky,Brandenburg ,-86.166136,37.988637
United States,Kentucky,Lawrenceburg ,-84.917629,38.076447
United States,Kentucky,Mt. Sterling,-83.941302,38.054333
United States,Kentucky,Prospect ,-85.58996,38.37102
United States,Kentucky,Middletown,-85.543717,38.242222
United States,Kentucky,Georgetown,-84.559554,38.211492
United States,Kentucky,Cadiz,-87.835998,36.862889
United States,Kentucky,Paintsville,-82.8042,37.812048
United States,Kentucky,Prestonsburg,-82.775995,37.670674
United States,Kentucky,Franklin,-86.577261,36.724368
United States,Kentucky,Beverly,-83.526289,37.009793
United States,Kentucky,Russellville,-86.884185,36.866286
United States,Kentucky,Lancaster,-84.583209,37.614373
United States,Kentucky,Catlettsburg,-82.630489,38.470783
United States,Kentucky,Beaver Dam,-86.877647,37.407199
United States,Kentucky,Lexington ,-84.418747,38.014875
United States,Kentucky,Ashland,-82.712555,38.400138
United States,Kentucky,HOPKINSVILLE,-87.489438,36.866111
United States,Kentucky,Burlington,-84.721563,39.022231
United States,Kentucky,Beattyville,-83.705633,37.591129
United States,Kentucky,Shepherdsville ,-85.709198,37.988053
